timestamp_us,ecg,leads,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
491151167,3658,1,200373,0.17,-0.19,9.98,-0.03,-0.01,-0.01,31.47
491231187,1516,1,200689,0.18,-0.20,9.97,-0.03,-0.01,-0.00,31.47
491311167,1719,1,200640,0.19,-0.20,9.99,-0.03,-0.01,-0.00,31.47
491396216,2035,1,199817,0.20,-0.21,9.98,-0.03,-0.01,-0.00,31.43
491472167,1648,1,199939,0.18,-0.20,9.99,-0.03,-0.01,-0.00,31.43
491552167,1705,1,200263,0.20,-0.23,10.01,-0.03,-0.01,-0.01,31.43
491630167,1826,1,200313,0.21,-0.22,10.00,-0.03,-0.01,-0.01,31.43
491710167,1842,1,200322,0.19,-0.21,9.98,-0.03,-0.01,-0.01,31.43
491790167,1697,1,200440,0.19,-0.22,9.99,-0.03,-0.01,-0.01,31.43
491870167,1949,1,200598,0.17,-0.22,9.98,-0.03,-0.01,-0.01,31.43
491950167,2174,1,200351,0.19,-0.21,9.99,-0.03,-0.01,-0.00,31.43
492030167,2070,1,199861,0.17,-0.21,10.01,-0.03,-0.01,-0.00,31.43
492110167,1714,1,200028,0.19,-0.21,10.00,-0.03,-0.01,-0.00,31.43
492190167,1728,1,200371,0.18,-0.19,9.99,-0.03,-0.01,-0.00,31.43
492270167,1872,1,200519,0.18,-0.21,10.00,-0.03,-0.01,-0.00,31.43
492350167,1916,1,200637,0.18,-0.20,9.98,-0.03,-0.01,-0.01,31.43
492435216,1722,1,200724,0.18,-0.21,9.98,-0.03,-0.01,-0.01,31.47
492511167,1898,1,200729,0.19,-0.20,9.98,-0.03,-0.01,-0.00,31.47
492591167,2098,1,199895,0.18,-0.23,9.97,-0.03,-0.01,-0.00,31.47
492669167,1747,1,199491,0.19,-0.21,9.98,-0.03,-0.01,-0.00,31.47
492749167,1662,1,199693,0.19,-0.22,10.01,-0.03,-0.01,-0.00,31.47
492829167,1776,1,199904,0.20,-0.22,10.00,-0.03,-0.01,-0.00,31.47
492909167,1840,1,200020,0.17,-0.20,9.98,-0.03,-0.01,-0.01,31.47
492989167,2759,1,200255,0.17,-0.23,9.99,-0.03,-0.01,-0.01,31.47
493069221,1877,1,200497,0.19,-0.21,9.99,-0.03,-0.01,-0.01,31.47
493149167,2112,1,200352,0.16,-0.22,9.99,-0.03,-0.01,-0.01,31.47
493229167,2321,1,199698,0.18,-0.21,9.99,-0.03,-0.01,-0.01,31.47
493309167,2006,1,199695,0.18,-0.19,10.01,-0.03,-0.01,-0.01,31.47
493389167,2135,1,199902,0.18,-0.21,9.99,-0.03,-0.01,-0.00,31.47
493474216,2206,1,200082,0.18,-0.20,9.97,-0.03,-0.01,-0.01,31.39
493550167,2153,1,200304,0.17,-0.23,9.97,-0.03,-0.01,-0.01,31.39
493630167,3949,1,200540,0.17,-0.21,10.01,-0.03,-0.01,-0.00,31.39
493708167,1898,1,200750,0.21,-0.23,9.99,-0.03,-0.01,-0.00,31.39
493788167,2083,1,200663,0.17,-0.22,9.98,-0.03,-0.01,-0.01,31.39
493868167,2159,1,199973,0.19,-0.22,10.00,-0.03,-0.01,-0.01,31.39
493948167,1587,1,199885,0.16,-0.22,9.99,-0.03,-0.01,-0.01,31.39
494028167,1515,1,200253,0.17,-0.23,9.98,-0.03,-0.01,-0.00,31.39
494108167,1494,1,200509,0.17,-0.23,9.96,-0.03,-0.01,-0.01,31.39
494188167,1431,1,200635,0.18,-0.23,9.96,-0.03,-0.01,-0.00,31.39
494268167,1503,1,200829,0.18,-0.22,10.01,-0.03,-0.01,-0.01,31.39
494348167,1359,1,201089,0.17,-0.21,9.97,-0.03,-0.01,-0.00,31.39
494428167,1488,1,201365,0.19,-0.20,9.99,-0.03,-0.01,-0.00,31.39
494513216,1815,1,201305,0.19,-0.20,10.00,-0.03,-0.01,-0.01,31.49
494589167,1872,1,201031,0.19,-0.21,9.98,-0.03,-0.01,-0.01,31.49
494669167,1581,1,201388,0.18,-0.22,9.99,-0.03,-0.02,-0.00,31.49
494747168,1633,1,201429,0.19,-0.22,9.99,-0.03,-0.01,-0.00,31.49
494827167,1623,1,201372,0.18,-0.19,9.98,-0.03,-0.01,-0.00,31.49
